algorithm,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classification__max_depth,param_classification__n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_RECALL,split1_test_RECALL,split2_test_RECALL,split3_test_RECALL,split4_test_RECALL,mean_test_RECALL,std_test_RECALL,rank_test_RECALL,split0_train_RECALL,split1_train_RECALL,split2_train_RECALL,split3_train_RECALL,split4_train_RECALL,mean_train_RECALL,std_train_RECALL,split0_test_PRECISION,split1_test_PRECISION,split2_test_PRECISION,split3_test_PRECISION,split4_test_PRECISION,mean_test_PRECISION,std_test_PRECISION,rank_test_PRECISION,split0_train_PRECISION,split1_train_PRECISION,split2_train_PRECISION,split3_train_PRECISION,split4_train_PRECISION,mean_train_PRECISION,std_train_PRECISION,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,mean_train_F1,std_train_F1
Random Forest,4.494066953659058,0.04592603142254214,0.16249542236328124,0.007654889141307688,2,20,"{'classification__max_depth': 2, 'classification__n_estimators': 20}",0.8441182751647432,0.8340985757121437,0.862858360064154,0.8424637084207797,0.8467036283951505,0.8460485640186043,0.009406306311269095,8,0.8690299580822207,0.8660681256530924,0.8642177422694005,0.8673843978423801,0.8620408778665255,0.8657482203427239,0.002434582928452814,0.8023255813953488,0.8023255813953488,0.813953488372093,0.7674418604651163,0.7209302325581395,0.7813967323912483,0.03401990316009076,3,0.8372093023255814,0.8488372093023255,0.813953488372093,0.8430232558139535,0.7965116279069767,0.8279069767441861,0.019664575029404385,0.02706943899568458,0.025200876552227903,0.02987622705932565,0.025892506865437426,0.027494456762749447,0.027106716611829288,0.0016080287000342986,9,0.028611166302404133,0.027374144557982562,0.029717682020802376,0.028070854709127867,0.03032650802434975,0.02882007112293334,0.0010743116449065011,0.052371916508538896,0.048866855524079315,0.057636887608069155,0.05009487666034155,0.05296881674498078,0.05238790243875152,0.0030181608392850535,9,0.055331412103746404,0.05303787121968939,0.05734179807495392,0.05433255269320843,0.05842840388101077,0.05569440759452178,0.001961235890907367
Random Forest,40.94954042434692,0.4979375641831867,0.9867645263671875,0.01942130439808926,2,200,"{'classification__max_depth': 2, 'classification__n_estimators': 200}",0.8518373444091907,0.8423542589170531,0.8740575206582756,0.8508694505647779,0.8574211130797881,0.8553079807568612,0.010541098253769934,7,0.8780999420865617,0.874067385254574,0.8709561042834152,0.8770131326404585,0.8695945772935609,0.873946228311714,0.0033030781879403786,0.813953488372093,0.813953488372093,0.8488372093023255,0.7558139534883721,0.8023255813953488,0.8069777818515759,0.029962758525588173,2,0.8488372093023255,0.8401162790697675,0.8313953488372093,0.8575581395348837,0.813953488372093,0.8383720930232558,0.015004055698330146,0.026158445440956652,0.028011204481792718,0.029918032786885245,0.02564102564102564,0.030817329164805715,0.028109203042250636,0.002025452317608392,8,0.0277698525915359,0.02959852519459238,0.0291005291005291,0.028373569298836204,0.03152798108321135,0.02927409145374099,0.0012875615954611056,0.05068790731354091,0.05415860735009671,0.05779889152810768,0.049599389545974815,0.059354838709677414,0.05431992104478409,0.0038197612425170616,8,0.0537802744267428,0.057182429758607045,0.056232795910342116,0.05492970859324086,0.06070460704607047,0.05656596314700065,0.002368830742158986
Random Forest,162.38610019683838,1.3274567952648013,3.588136100769043,0.08199465905522349,2,800,"{'classification__max_depth': 2, 'classification__n_estimators': 800}",0.8506246513371221,0.8429175673791012,0.8769546912590216,0.8510634124654302,0.8595018448174033,0.8562124680245617,0.011623874781653016,6,0.8787329787338367,0.8753302918336059,0.8725033001942797,0.8756849479254345,0.8716987253349284,0.874790048804417,0.002506986373902923,0.813953488372093,0.813953488372093,0.8488372093023255,0.7790697674418605,0.8023255813953488,0.811628685225891,0.022547294647021095,1,0.8459302325581395,0.8372093023255814,0.8313953488372093,0.8604651162790697,0.8168604651162791,0.8383720930232558,0.01454650698046138,0.026535253980288095,0.028363047001620744,0.030442035029190993,0.02565084226646248,0.031137184115523464,0.028425673655804912,0.0021304809190780356,7,0.028015788966977952,0.02945387604827163,0.029505828948725884,0.027730934982199737,0.03191731031349387,0.029324747851933813,0.0014848876993247715,0.0513950073421439,0.054815974941268594,0.05877616747181964,0.04966641957005189,0.05994787141615986,0.0549202923552738,0.004004599503228275,7,0.05423539278725189,0.056905749851807935,0.056989140181329084,0.05373025957524052,0.06143419326628772,0.05665894713238343,0.0027358267906585354
Random Forest,14.049398851394653,0.1996346721333798,0.2899284362792969,0.012014903210114402,10,20,"{'classification__max_depth': 10, 'classification__n_estimators': 20}",0.8555010285554898,0.8680893928035982,0.8911065906000488,0.8539227159896525,0.8696804859072513,0.8676602606057372,0.013345996422235743,5,0.9975848516315464,0.9973885152694256,0.9972277959442071,0.9969211393262258,0.9979132855109202,0.9974071175364652,0.0003336083109080627,0.5116279069767442,0.5348837209302325,0.5930232558139535,0.4186046511627907,0.47674418604651164,0.5069789492252962,0.05818571596428002,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07028753993610223,0.07431340872374798,0.0787037037037037,0.06282722513089005,0.06743421052631579,0.07071342517832373,0.005475947491928916,6,0.13312693498452013,0.1274074074074074,0.136779324055666,0.13921489275596924,0.13831926015279453,0.13496956387127146,0.004315089942074666,0.12359550561797752,0.13049645390070921,0.13896457765667575,0.10925644916540213,0.11815561959654179,0.12409410743297354,0.01017631346854118,6,0.23497267759562843,0.22601839684625494,0.24064358167191324,0.24440497335701597,0.24302366654892263,0.23781265920394704,0.006720081034622114
Random Forest,136.5031939983368,1.8596479155064118,2.155189037322998,0.032859770083857306,10,200,"{'classification__max_depth': 10, 'classification__n_estimators': 200}",0.8760241972037238,0.8742972263868066,0.8998280656183536,0.878639782239628,0.8965398504531952,0.8850657305307109,0.010849798077288845,2,0.9982824143638402,0.9980901640862588,0.9978840211212434,0.9981698856086572,0.9986330324411167,0.9982119035242232,0.0002475537151066671,0.5232558139534884,0.5,0.6046511627906976,0.43023255813953487,0.4883720930232558,0.5093041847321352,0.056679294213323655,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07020280811232449,0.07651245551601424,0.0804953560371517,0.06583629893238434,0.07216494845360824,0.07304252369473616,0.005066533500181601,5,0.130997715156131,0.14052287581699346,0.13831926015279453,0.1402364451691806,0.14000814000814002,0.13801688726064792,0.0035925397661541077,0.12379642365887207,0.13271604938271606,0.14207650273224043,0.11419753086419752,0.12574850299401197,0.1277072894992862,0.009308125959105497,5,0.23164983164983166,0.24641833810888253,0.24302366654892263,0.24597783339292098,0.2456265619421635,0.2425392463285443,0.00557165624805689
Random Forest,534.9443903446197,6.911699617290557,8.468752717971801,0.1446635758226787,10,800,"{'classification__max_depth': 10, 'classification__n_estimators': 800}",0.8766005805236917,0.8849194588752136,0.9002039677835499,0.8772133994983143,0.8953597339452939,0.8868594494259269,0.00951195769403664,1,0.9984956398753907,0.9980089872067418,0.9980117112631013,0.9980445819515882,0.9984915210284051,0.9982104882650453,0.00023148681725248627,0.5348837209302325,0.5348837209302325,0.6046511627906976,0.45348837209302323,0.4883720930232558,0.5232577595763556,0.05095077273506684,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.071875,0.08013937282229965,0.0790273556231003,0.06621392190152801,0.07228915662650602,0.0739091345716828,0.005118388564640518,4,0.1308980213089802,0.13949716139497162,0.13843058350100604,0.13667063965037743,0.1433930804501876,0.13777789726110456,0.004085850297547652,0.12672176308539942,0.13939393939393938,0.13978494623655915,0.11555555555555555,0.12593703148425786,0.12947897184637658,0.009149045060283134,4,0.23149394347240917,0.24483985765124558,0.2431954754330152,0.24047535826634045,0.2508202697776158,0.24216498092012526,0.00632229032229819
Random Forest,16.620360803604125,0.18938532907911604,0.295886754989624,0.004566144661643489,20,20,"{'classification__max_depth': 20, 'classification__n_estimators': 20}",0.8043532739444232,0.8299756371814092,0.8649715839754542,0.772901670033758,0.8309120785959775,0.8206235446625586,0.030666321867817876,9,0.9998912079991369,0.999906326511933,0.9999255311092684,0.9999480057922977,0.9999493677885702,0.9999240878402412,2.284633877844401e-05,0.32558139534883723,0.22093023255813954,0.26744186046511625,0.1744186046511628,0.2558139534883721,0.24883846314817346,0.050202301501816815,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.12017167381974249,0.12582781456953643,0.11057692307692307,0.10067114093959731,0.10138248847926268,0.11172640600528143,0.010007061596475509,3,0.33725490196078434,0.38392857142857145,0.3895809739524349,0.4056603773584906,0.35796045785639957,0.3748770565113362,0.024278985876136767,0.1755485893416928,0.16033755274261602,0.15646258503401358,0.1276595744680851,0.14521452145214522,0.15304518212524781,0.01598118174184477,3,0.5043988269794721,0.5548387096774194,0.560717196414018,0.5771812080536913,0.5272030651340996,0.5448678012517401,0.025863330728067745
Random Forest,164.64780912399291,1.589260909136061,2.3908833980560305,0.04373545743321728,20,200,"{'classification__max_depth': 20, 'classification__n_estimators': 200}",0.8630147135734458,0.8714605270039397,0.9034557939053729,0.8441761304818755,0.872884671125611,0.8709988308146286,0.019185560270455603,4,0.9999923726421931,0.9999831789519793,0.9999949604957348,0.9999768460633677,0.999998910402982,0.9999892537112514,8.079594553690364e-06,0.32558139534883723,0.2441860465116279,0.2441860465116279,0.18604651162790697,0.22093023255813954,0.2441875597738581,0.04592661287529668,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.12444444444444444,0.13125,0.12574850299401197,0.10666666666666667,0.10919540229885058,0.11946143199979517,0.009720266946191403,2,0.3524590163934426,0.38392857142857145,0.4461738002594034,0.3995354239256678,0.4085510688836104,0.39812957617813916,0.03067996073209657,0.180064308681672,0.1707317073170732,0.1660079051383399,0.13559322033898305,0.1461538461538462,0.15971089792994955,0.016375631865162034,2,0.5212121212121212,0.5548387096774194,0.6170403587443947,0.570954356846473,0.5801011804384485,0.5688293453837714,0.031365617079074634
Random Forest,479.16653447151185,43.915218480391324,6.03370099067688,0.6739010886089268,20,800,"{'classification__max_depth': 20, 'classification__n_estimators': 800}",0.8668625353021163,0.8801874498797112,0.8959856917471498,0.8757319882402426,0.8924786369490881,0.8822491914100462,0.010740713858502482,3,0.9999946880900987,0.9999816126195724,0.9999972759436403,0.9999749392685862,0.9999867886361569,0.999987060911611,8.236661711221077e-06,0.3488372093023256,0.23255813953488372,0.2558139534883721,0.18604651162790697,0.23255813953488372,0.2511643471959683,0.053841311012051876,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13157894736842105,0.13071895424836602,0.12571428571428572,0.10526315789473684,0.11560693641618497,0.12177687803618405,0.010023027396906326,1,0.35354573484069884,0.3940435280641466,0.4485006518904824,0.40613931523022434,0.4014002333722287,0.4007258926795562,0.030274770972863276,0.19108280254777069,0.1673640167364017,0.1685823754789272,0.13445378151260504,0.1544401544401544,0.1631853228657927,0.018583965317313888,1,0.5223993925588458,0.5653245686113394,0.6192619261926192,0.5776658270361041,0.5728559533721899,0.5715015335542197,0.030887095099356134
